Temperature - (Celsius), Year, Month, Country, ISO3
-5.6844, 1939, Aug, Greenland, GRL
-11.825, 1939, Sep, Greenland, GRL
-17.377, 1939, Oct, Greenland, GRL
-24.538, 1939, Nov, Greenland, GRL
-25.481, 1939, Dec, Greenland, GRL
-23.018, 1940, Jan, Greenland, GRL
-25.78, 1940, Feb, Greenland, GRL
-28.083, 1940, Mar, Greenland, GRL
-21.535, 1940, Apr, Greenland, GRL
-12.462, 1940, May, Greenland, GRL
-5.7284, 1940, Jun, Greenland, GRL
-2.6507, 1940, Jul, Greenland, GRL
-6.5378, 1940, Aug, Greenland, GRL
-13.325, 1940, Sep, Greenland, GRL
-18.536, 1940, Oct, Greenland, GRL
-24.978, 1940, Nov, Greenland, GRL
-24.917, 1940, Dec, Greenland, GRL
-24.912, 1941, Jan, Greenland, GRL
-26.271, 1941, Feb, Greenland, GRL
-27.295, 1941, Mar, Greenland, GRL
-21.372, 1941, Apr, Greenland, GRL
-12.37, 1941, May, Greenland, GRL
-5.7456, 1941, Jun, Greenland, GRL
-2.9349, 1941, Jul, Greenland, GRL
-5.1203, 1941, Aug, Greenland, GRL
-12.532, 1941, Sep, Greenland, GRL
-17.831, 1941, Oct, Greenland, GRL
-23.467, 1941, Nov, Greenland, GRL
-24.477, 1941, Dec, Greenland, GRL
-22.501, 1942, Jan, Greenland, GRL
-28.017, 1942, Feb, Greenland, GRL
-27.47, 1942, Mar, Greenland, GRL
-23.203, 1942, Apr, Greenland, GRL
-12.421, 1942, May, Greenland, GRL
-5.7572, 1942, Jun, Greenland, GRL
-2.8298, 1942, Jul, Greenland, GRL
-6.1743, 1942, Aug, Greenland, GRL
-13.408, 1942, Sep, Greenland, GRL
-19.366, 1942, Oct, Greenland, GRL
-22.345, 1942, Nov, Greenland, GRL
-24.765, 1942, Dec, Greenland, GRL
-24.185, 1943, Jan, Greenland, GRL
-30.908, 1943, Feb, Greenland, GRL
-30.522, 1943, Mar, Greenland, GRL
-23.296, 1943, Apr, Greenland, GRL
-14.503, 1943, May, Greenland, GRL
-5.8435, 1943, Jun, Greenland, GRL
-2.8298, 1943, Jul, Greenland, GRL
-6.5353, 1943, Aug, Greenland, GRL
-13.529, 1943, Sep, Greenland, GRL
-20.099, 1943, Oct, Greenland, GRL
-23.862, 1943, Nov, Greenland, GRL
-25.101, 1943, Dec, Greenland, GRL
-26.402, 1944, Jan, Greenland, GRL
-26.559, 1944, Feb, Greenland, GRL
-27.815, 1944, Mar, Greenland, GRL
-22.8, 1944, Apr, Greenland, GRL
-13.567, 1944, May, Greenland, GRL
-5.9253, 1944, Jun, Greenland, GRL
-2.9379, 1944, Jul, Greenland, GRL
-6.0356, 1944, Aug, Greenland, GRL
-12.765, 1944, Sep, Greenland, GRL
-19.274, 1944, Oct, Greenland, GRL
-25.143, 1944, Nov, Greenland, GRL
-25.276, 1944, Dec, Greenland, GRL
-22.946, 1945, Jan, Greenland, GRL
-26.643, 1945, Feb, Greenland, GRL
-26, 1945, Mar, Greenland, GRL
-22.151, 1945, Apr, Greenland, GRL
-13.127, 1945, May, Greenland, GRL
-5.8141, 1945, Jun, Greenland, GRL
-3.4197, 1945, Jul, Greenland, GRL
-5.7994, 1945, Aug, Greenland, GRL
-13.042, 1945, Sep, Greenland, GRL
-18.484, 1945, Oct, Greenland, GRL
-24.363, 1945, Nov, Greenland, GRL
-25.365, 1945, Dec, Greenland, GRL
-23.81, 1946, Jan, Greenland, GRL
-26.15, 1946, Feb, Greenland, GRL
-26.353, 1946, Mar, Greenland, GRL
-23.466, 1946, Apr, Greenland, GRL
-11.629, 1946, May, Greenland, GRL
-5.8044, 1946, Jun, Greenland, GRL
-3.1636, 1946, Jul, Greenland, GRL
-5.8525, 1946, Aug, Greenland, GRL
-12.436, 1946, Sep, Greenland, GRL
-17.719, 1946, Oct, Greenland, GRL
-22.599, 1946, Nov, Greenland, GRL
-22.329, 1946, Dec, Greenland, GRL
-19.126, 1947, Jan, Greenland, GRL
-22.137, 1947, Feb, Greenland, GRL
-26.435, 1947, Mar, Greenland, GRL
-22.094, 1947, Apr, Greenland, GRL
-12.445, 1947, May, Greenland, GRL
-5.2644, 1947, Jun, Greenland, GRL
-2.376, 1947, Jul, Greenland, GRL
-5.2991, 1947, Aug, Greenland, GRL
-13.09, 1947, Sep, Greenland, GRL
-18.129, 1947, Oct, Greenland, GRL
-23.462, 1947, Nov, Greenland, GRL
-26.311, 1947, Dec, Greenland, GRL
-26.023, 1948, Jan, Greenland, GRL
-27.324, 1948, Feb, Greenland, GRL
-29.341, 1948, Mar, Greenland, GRL
-22.323, 1948, Apr, Greenland, GRL
-13.399, 1948, May, Greenland, GRL
-5.0283, 1948, Jun, Greenland, GRL
-2.0584, 1948, Jul, Greenland, GRL
-5.45, 1948, Aug, Greenland, GRL
-12.832, 1948, Sep, Greenland, GRL
-19.15, 1948, Oct, Greenland, GRL
-24.579, 1948, Nov, Greenland, GRL
-29.829, 1948, Dec, Greenland, GRL
-27.998, 1949, Jan, Greenland, GRL
-27.386, 1949, Feb, Greenland, GRL
-27.196, 1949, Mar, Greenland, GRL
-25.138, 1949, Apr, Greenland, GRL
-14.101, 1949, May, Greenland, GRL
-5.0823, 1949, Jun, Greenland, GRL
-2.2581, 1949, Jul, Greenland, GRL
-5.3648, 1949, Aug, Greenland, GRL
-13.308, 1949, Sep, Greenland, GRL
-21.05, 1949, Oct, Greenland, GRL
-24.617, 1949, Nov, Greenland, GRL
-25.879, 1949, Dec, Greenland, GRL
-26.581, 1950, Jan, Greenland, GRL
-28.999, 1950, Feb, Greenland, GRL
-28.015, 1950, Mar, Greenland, GRL
-23.589, 1950, Apr, Greenland, GRL
-13.19, 1950, May, Greenland, GRL
-5.7126, 1950, Jun, Greenland, GRL
-2.4708, 1950, Jul, Greenland, GRL
-5.7979, 1950, Aug, Greenland, GRL
-13.973, 1950, Sep, Greenland, GRL
-20.018, 1950, Oct, Greenland, GRL
-23.263, 1950, Nov, Greenland, GRL
-26.466, 1950, Dec, Greenland, GRL
-27.618, 1951, Jan, Greenland, GRL
-28.1, 1951, Feb, Greenland, GRL
-29.134, 1951, Mar, Greenland, GRL
-23.427, 1951, Apr, Greenland, GRL
-12.686, 1951, May, Greenland, GRL
-5.3642, 1951, Jun, Greenland, GRL
-3.8072, 1951, Jul, Greenland, GRL
-6.1117, 1951, Aug, Greenland, GRL
-12.327, 1951, Sep, Greenland, GRL
-20.817, 1951, Oct, Greenland, GRL
-25.227, 1951, Nov, Greenland, GRL
-29.149, 1951, Dec, Greenland, GRL
-26.016, 1952, Jan, Greenland, GRL
-27.38, 1952, Feb, Greenland, GRL
-29.412, 1952, Mar, Greenland, GRL
-22.404, 1952, Apr, Greenland, GRL
-11.293, 1952, May, Greenland, GRL
-6.0744, 1952, Jun, Greenland, GRL
-3.2622, 1952, Jul, Greenland, GRL
-6.0942, 1952, Aug, Greenland, GRL
-13.172, 1952, Sep, Greenland, GRL
-19.051, 1952, Oct, Greenland, GRL
-23.147, 1952, Nov, Greenland, GRL
-23.772, 1952, Dec, Greenland, GRL
-25.088, 1953, Jan, Greenland, GRL
-27.715, 1953, Feb, Greenland, GRL
-29.983, 1953, Mar, Greenland, GRL
-19.721, 1953, Apr, Greenland, GRL
-12.522, 1953, May, Greenland, GRL
